time,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
1.60280000e-04,2.88504000e-01,4.63087342e-12,1.60721204e-10,1.62717127e-10,2.63495036e-12
1.61280000e-04,2.90304000e-01,4.64254926e-12,1.69368961e-10,1.71379036e-10,2.63247410e-12
1.62280000e-04,2.92104000e-01,4.65435438e-12,1.78475420e-10,1.80499687e-10,2.63008760e-12
1.63280000e-04,2.93904000e-01,4.66646879e-12,1.88064553e-10,1.90102986e-10,2.62803535e-12
1.64280000e-04,2.95704000e-01,4.67871501e-12,1.98161504e-10,2.00214122e-10,2.62609658e-12
1.65280000e-04,2.97504000e-01,4.69127296e-12,2.08792744e-10,2.10859500e-10,2.62451696e-12
1.66280000e-04,2.99304000e-01,4.70396504e-12,2.19986042e-10,2.22066931e-10,2.62307697e-12
1.67280000e-04,3.01104000e-01,4.71697109e-12,2.31770622e-10,2.33865570e-10,2.62202361e-12
1.68280000e-04,3.02904000e-01,4.73011343e-12,2.44177139e-10,2.46286114e-10,2.62113875e-12
1.69280000e-04,3.04704000e-01,4.74357178e-12,2.57237842e-10,2.59360743e-10,2.62067083e-12
1.70280000e-04,3.06504000e-01,4.75716834e-12,2.70986559e-10,2.73123324e-10,2.62040322e-12
1.71280000e-04,3.08304000e-01,4.77108276e-12,2.85458864e-10,2.87609361e-10,2.62058596e-12
1.72280000e-04,3.10104000e-01,4.78513712e-12,3.00692073e-10,3.02856207e-10,2.62100410e-12
1.73280000e-04,3.11904000e-01,4.79951095e-12,3.16725415e-10,3.18903016e-10,2.62190941e-12
1.74280000e-04,3.13704000e-01,4.81402622e-12,3.33600031e-10,3.35790969e-10,2.62308876e-12
1.75280000e-04,3.15504000e-01,4.82886233e-12,3.51359162e-10,3.53563229e-10,2.62479584e-12
1.76280000e-04,3.17304000e-01,4.84384115e-12,3.70048151e-10,3.72265173e-10,2.62681952e-12
1.77280000e-04,3.19104000e-01,4.85914195e-12,3.89714638e-10,3.91944364e-10,2.62941559e-12
1.78280000e-04,3.20904000e-01,4.87458648e-12,4.10408574e-10,4.12650786e-10,2.63237511e-12
