# hostname: saiwaicho
# ngspice: ******
# gmin: 1e-14
# source: nfetdc.cir
# timestamp: 2026-01-24T17:33:51Z
v-sweep,v(ng),i(Vg_sense),i(Vd_sense),i(Vs_sense),i(Vb_sense)
2.28000000e-01,2.28000000e-01,-0.00000000e+00,2.76942845e-11,2.76531613e-11,4.11232574e-14
2.29000000e-01,2.29000000e-01,-0.00000000e+00,2.85171794e-11,2.84756658e-11,4.15135848e-14
2.30000000e-01,2.30000000e-01,-0.00000000e+00,2.93644492e-11,2.93225337e-11,4.19154738e-14
2.31000000e-01,2.31000000e-01,-0.00000000e+00,3.02368114e-11,3.01944822e-11,4.23292646e-14
2.32000000e-01,2.32000000e-01,-0.00000000e+00,3.11350045e-11,3.10922492e-11,4.27553074e-14
2.33000000e-01,2.33000000e-01,-0.00000000e+00,3.20597884e-11,3.20165944e-11,4.31939628e-14
2.34000000e-01,2.34000000e-01,-0.00000000e+00,3.30119451e-11,3.29682995e-11,4.36456017e-14
2.35000000e-01,2.35000000e-01,-0.00000000e+00,3.39922796e-11,3.39481690e-11,4.41106057e-14
2.36000000e-01,2.36000000e-01,-0.00000000e+00,3.50016202e-11,3.49570308e-11,4.45893677e-14
2.37000000e-01,2.37000000e-01,-0.00000000e+00,3.60408192e-11,3.59957369e-11,4.50822921e-14
2.38000000e-01,2.38000000e-01,-0.00000000e+00,3.71107538e-11,3.70651640e-11,4.55897947e-14
2.39000000e-01,2.39000000e-01,-0.00000000e+00,3.82123267e-11,3.81662144e-11,4.61123039e-14
2.40000000e-01,2.40000000e-01,-0.00000000e+00,3.93464669e-11,3.92998166e-11,4.66502600e-14
2.41000000e-01,2.41000000e-01,-0.00000000e+00,4.05141302e-11,4.04669261e-11,4.72041165e-14
2.42000000e-01,2.42000000e-01,-0.00000000e+00,4.17163002e-11,4.16685259e-11,4.77743400e-14
2.43000000e-01,2.43000000e-01,-0.00000000e+00,4.29539892e-11,4.29056278e-11,4.83614103e-14
